Date,Australia/US,British/US,Canadian/US,Dutch/US,French/US,German/US,Japanese/US,Swiss/US
1983-01-03,1.016260163,0.615953188,1.23,2.6235,6.726,2.374,232,1.994
1983-01-04,1.01502233,0.616903146,1.2298,2.614,6.6925,2.3655,229.8,1.989
1983-01-05,1.012658228,0.616903146,1.2297,2.5975,6.661,2.349,229.1,1.9575
1983-01-06,1.013581999,0.622471211,1.2313,2.599,6.6606,2.3495,229.8,1.96
1983-01-07,1.012555691,0.621118012,1.2267,2.582,6.635,2.3383,229.1,1.936
1983-01-10,1.01061142,0.629128657,1.2253,2.577,6.606,2.3315,226.75,1.9175
1983-01-11,1.01061142,0.631313131,1.2231,2.5865,6.643,2.3445,228.8,1.936
1983-01-12,1.011122346,0.634920635,1.223,2.605,6.698,2.3605,230.55,1.946
1983-01-13,1.009591116,0.633713561,1.2194,2.5835,6.644,2.342,229.1,1.916
1983-01-14,1.011531459,0.632511069,1.2224,2.593,6.675,2.355,230.5,1.934
1983-01-17,1.010815728,0.629326621,1.2223,2.602,6.684,2.3583,229.6,1.9335
1983-01-18,1.015640869,0.634517766,1.2265,2.633,6.7805,2.393,232.15,1.964
1983-01-19,1.019367992,0.635324015,1.2252,2.645,6.846,2.414,234.95,1.976
1983-01-20,1.020616452,0.636132316,1.225,2.654,6.867,2.4225,235.3,1.978
1983-01-21,1.021972407,0.637958533,1.2283,2.68,6.92,2.442,236.35,1.991
1983-01-24,1.027432446,0.64913989,1.2322,2.698,6.978,2.4645,240.2,2.025
1983-01-25,1.02145046,0.649857031,1.236,2.6595,6.862,2.4215,235.85,1.9905
1983-01-26,1.025641026,0.645994832,1.2373,2.668,6.873,2.426,235.35,1.9875
1983-01-27,1.025641026,0.650829808,1.2356,2.669,6.875,2.4265,235.85,1.988
1983-01-28,1.027538019,0.650956907,1.236,2.673,6.9025,2.432,236.4,1.991
1983-01-31,1.033378113,0.657808183,1.2367,2.708,6.994,2.465,239.85,2.015
1983-02-01,1.033271337,0.656383328,1.2353,2.702,6.984,2.464,239.4,2.0155
1983-02-02,1.037882719,0.660720185,1.2384,2.735,7.07,2.4945,242.2,2.0485
1983-02-03,1.035732781,0.655952771,1.2334,2.7085,6.995,2.466,238.85,2.0185
1983-02-04,1.037344398,0.655952771,1.2285,2.718,7.021,2.476,240.3,2.036
1983-02-07,1.034661148,0.651890482,1.2248,2.695,6.948,2.4505,237.45,2.019
1983-02-08,1.031991744,0.650829808,1.2247,2.6925,6.932,2.443,237.45,2.0185
1983-02-09,1.030715316,0.648929267,1.226,2.6815,6.897,2.431,236.6,2.021
1983-02-10,1.030715316,0.645577792,1.2272,2.665,6.834,2.4105,235.1,2.012
1983-02-11,1.030290542,0.64913989,1.2252,2.657,6.8215,2.406,234.7,2.006
1983-02-14,1.031246777,0.64998375,1.2245,2.6645,6.837,2.413,234.8,2.0065
1983-02-15,1.031034127,0.648929267,1.2241,2.66,6.835,2.41,234.1,1.9995
1983-02-16,1.029866117,0.644745326,1.2235,2.64,6.77,2.388,232.6,1.9785
1983-02-17,1.032098256,0.647878199,1.2246,2.651,6.797,2.397,233.2,1.9915
1983-02-18,1.032737788,0.647878199,1.2247,2.651,6.801,2.3972,233.6,1.997
1983-02-22,1.037344398,0.657246139,1.2259,2.6635,6.837,2.4095,233.8,2.019
1983-02-23,1.039392994,0.652315721,1.2301,2.6705,6.866,2.418,235.05,2.036
1983-02-24,1.040041602,0.654664484,1.2282,2.664,6.83,2.4085,234.2,2.0245
1983-02-25,1.040582726,0.654878847,1.2282,2.67,6.85,2.4145,235.05,2.032
1983-02-28,1.047668937,0.661594443,1.229,2.692,6.9,2.434,237.85,2.0625
1983-03-01,1.053185887,0.664672649,1.2279,2.7,6.928,2.4425,239,2.0675
1983-03-02,1.052410019,0.664451827,1.2254,2.6885,6.895,2.4315,237.3,2.0545
1983-03-03,1.05374078,0.661157025,1.2228,2.683,6.877,2.425,236.4,2.0545
1983-03-04,1.056524036,0.661813369,1.2232,2.654,6.815,2.4025,235.8,2.043
1983-03-07,1.054296257,0.6592827,1.2229,2.644,6.7875,2.3885,235.7,2.045
1983-03-08,1.171646163,0.666888963,1.2246,2.667,6.835,2.406,238.7,2.0625
1983-03-09,1.17260788,0.665557404,1.2276,2.6665,6.8775,2.4065,237.7,2.062
1983-03-10,1.16509379,0.661506913,1.2254,2.65,6.98,2.3937,237.05,2.052
1983-03-11,1.165501166,0.665468823,1.2265,2.653,6.92,2.399,238.45,2.072
1983-03-14,1.14246544,0.662690524,1.2272,2.643,6.73,2.384,237.5,2.0635
1983-03-15,1.143379831,0.660501982,1.2243,2.653,6.75,2.388,237.25,2.052
1983-03-16,1.14416476,0.662251656,1.2223,2.641,6.835,2.381,237.25,2.05
1983-03-17,1.145475372,0.665646009,1.2231,2.657,6.91,2.3875,239.1,2.061
1983-03-18,1.152073733,0.672268908,1.2258,2.656,6.92,2.396,240.3,2.067
1983-03-21,1.153402537,0.680040802,1.2241,2.689,7.246,2.417,240.85,2.08
1983-03-22,1.153269519,0.678886626,1.2243,2.698,7.25,2.418,239.4,2.078
1983-03-23,1.153402537,0.685871056,1.2276,2.7155,7.2675,2.4245,238.8,2.087
1983-03-24,1.150747986,0.684088111,1.2271,2.719,7.259,2.4218,237.25,2.071
1983-03-25,1.152870648,0.684931507,1.2272,2.7115,7.246,2.417,237.1,2.065
1983-03-28,1.155668554,0.687521485,1.2313,2.736,7.297,2.434,240.1,2.0855
1983-03-29,1.155802127,0.687616035,1.2305,2.7365,7.286,2.431,240.05,2.0815
1983-03-30,1.155001155,0.68189567,1.2306,2.7265,7.2775,2.4275,239.8,2.084
1983-03-31,1.157139551,0.674536256,1.2341,2.731,7.281,2.431,239,2.0855
1983-04-01,1.156737999,0.676589986,1.2367,2.73,7.28,2.427,239.6,2.0875
1983-04-04,1.155802127,0.671817266,1.2379,2.725,7.25,2.4185,239,2.072
1983-04-05,1.154734411,0.663878377,1.2362,2.726,7.25,2.418,237.65,2.0515
1983-04-06,1.153668666,0.659195781,1.2346,2.719,7.233,2.4125,237.05,2.045
1983-04-07,1.15446779,0.665114732,1.236,2.722,7.245,2.4165,237.9,2.05
1983-04-08,1.155401502,0.664451827,1.2352,2.7335,7.278,2.427,239.3,2.058
1983-04-11,1.152737752,0.655179192,1.233,2.729,7.265,2.4225,237.95,2.051
1983-04-12,1.152604887,0.648298217,1.2318,2.7325,7.27,2.4247,238.05,2.0445
1983-04-13,1.153668666,0.650829808,1.2343,2.7505,7.318,2.4415,238.5,2.056
1983-04-14,1.152073733,0.649266329,1.2333,2.751,7.321,2.4425,238.25,2.049
1983-04-15,1.150747986,0.645661157,1.233,2.745,7.305,2.437,237.6,2.04
1983-04-18,1.150615579,0.64061499,1.2368,2.771,7.37,2.459,237.8,2.0605
1983-04-19,1.150218542,0.645369474,1.2376,2.7585,7.3425,2.4495,237.05,2.064
1983-04-20,1.151675688,0.648508431,1.2344,2.772,7.3805,2.4612,237.38,2.073
1983-04-21,1.150350857,0.646203554,1.2293,2.765,7.36,2.4555,236.4,2.0635
1983-04-22,1.151012891,0.64808814,1.227,2.7568,7.3385,2.4472,236.85,2.061
1983-04-25,1.149425287,0.637755102,1.2258,2.755,7.331,2.4449,236.25,2.0555
1983-04-26,1.151808339,0.636942675,1.228,2.7645,7.348,2.4507,237.35,2.057
1983-04-27,1.150483203,0.637755102,1.2276,2.7615,7.3425,2.4485,236.25,2.0525
1983-04-28,1.152604887,0.641354541,1.2271,2.776,7.3875,2.464,238.2,2.068
1983-04-29,1.153269519,0.642137032,1.2262,2.776,7.396,2.4665,238.3,2.073
1983-05-02,1.152073733,0.636658815,1.2239,2.7625,7.383,2.4615,237.6,2.0685
1983-05-03,1.151410478,0.633633253,1.226,2.7635,7.405,2.458,237.65,2.0678
1983-05-04,1.147973826,0.633432571,1.2256,2.751,7.384,2.447,236.25,2.057
1983-05-05,1.147446931,0.633713561,1.2243,2.7515,7.364,2.4435,235.2,2.0535
1983-05-06,1.147842057,0.633312223,1.227,2.746,7.36,2.4415,234.7,2.053
1983-05-09,1.145737855,0.637755102,1.2265,2.744,7.343,2.4352,232.65,2.039
1983-05-10,1.145737855,0.639181847,1.2268,2.7478,7.362,2.4435,232.5,2.042
1983-05-11,1.138692781,0.637755102,1.2257,2.742,7.33,2.437,230.9,2.024
1983-05-12,1.133658315,0.637714431,1.2265,2.745,7.339,2.4405,231.5,2.0225
1983-05-13,1.129943503,0.638365784,1.2271,2.751,7.36,2.443,231.3,2.023
1983-05-16,1.128795575,0.64082025,1.2288,2.7705,7.413,2.462,233.3,2.043
1983-05-17,1.131861913,0.643500644,1.231,2.766,7.403,2.4617,233.4,2.048
1983-05-18,1.131861913,0.641642605,1.2311,2.7705,7.409,2.4645,232.75,2.023
1983-05-19,1.13430127,0.643997939,1.233,2.783,7.443,2.4785,234.4,2.0695
1983-05-20,1.133658315,0.642590927,1.2335,2.7845,7.436,2.4775,234.1,2.0785
1983-05-23,1.134558657,0.642590927,1.2344,2.7945,7.455,2.485,235.4,2.0785
1983-05-24,1.134429949,0.637877145,1.2351,2.802,7.483,2.494,236.6,2.0825
1983-05-25,1.133786848,0.630755645,1.2325,2.799,7.471,2.4897,236.3,2.073
1983-05-26,1.133144476,0.624219725,1.233,2.8075,7.483,2.4947,236.55,2.0745
1983-05-27,1.132502831,0.624297665,1.2306,2.8275,7.5425,2.5145,237.97,2.085
1983-05-31,1.134944955,0.624804749,1.23,2.839,7.573,2.5245,238.85,2.096
1983-06-01,1.136105431,0.628930818,1.231,2.8615,7.669,2.548,239.85,2.109
1983-06-02,1.133786848,0.632271118,1.2296,2.8535,7.6425,2.5405,238.35,2.104
1983-06-03,1.135589371,0.638977636,1.2323,2.8545,7.652,2.543,239,2.1085
1983-06-06,1.136363636,0.634517766,1.2344,2.88,7.657,2.565,240.5,2.1205
1983-06-07,1.137656428,0.636132316,1.2354,2.88,7.716,2.5685,240.35,2.13
1983-06-08,1.138952164,0.637104995,1.2357,2.88,7.725,2.5677,241.38,2.1315
1983-06-09,1.141291942,0.63339245,1.2343,2.8775,7.715,2.565,242.7,2.129
1983-06-10,1.14064104,0.636739892,1.2339,2.8665,7.695,2.556,242.18,2.127
1983-06-13,1.139731023,0.644246875,1.235,2.862,7.685,2.5535,242.55,2.127
1983-06-14,1.143772161,0.65681445,1.2364,2.872,7.716,2.565,243.05,2.135
1983-06-15,1.143249114,0.657030223,1.2375,2.873,7.716,2.5675,242.45,2.1375
1983-06-16,1.141552511,0.654878847,1.235,2.8545,7.674,2.5555,240.55,2.1245
1983-06-17,1.14246544,0.656598818,1.232,2.856,7.7025,2.5585,239.9,2.1185
1983-06-20,1.141813199,0.652741514,1.2311,2.8465,7.654,2.5455,239.25,2.105
1983-06-21,1.141422212,0.655307995,1.2293,2.8515,7.668,2.5495,239.6,2.1105
1983-06-22,1.139341461,0.653381248,1.2277,2.8215,7.5825,2.5217,237.4,2.0815
1983-06-23,1.138563133,0.648929267,1.232,2.8222,7.595,2.524,237.5,2.0845
1983-06-24,1.138044839,0.647039793,1.2325,2.825,7.596,2.526,237.3,2.0865
1983-06-27,1.142595978,0.650406504,1.2304,2.839,7.6095,2.5325,239.4,2.096
1983-06-28,1.141813199,0.652528548,1.2295,2.85,7.63,2.54,238.8,2.0965
1983-06-29,1.142857143,0.654578779,1.2287,2.8515,7.642,2.544,239.35,2.106
1983-06-30,1.14246544,0.652315721,1.2276,2.8465,7.625,2.541,239.28,2.1025
1983-07-01,1.141291942,0.653167864,1.227,2.8455,7.635,2.5413,239.15,2.106
1983-07-05,1.144557628,0.654236179,1.2308,2.8765,7.709,2.5685,240.7,2.129
1983-07-06,1.144819691,0.649561546,1.2309,2.8765,7.711,2.5676,239.5,2.125
1983-07-07,1.146394589,0.64977258,1.2317,2.883,7.736,2.577,240.85,2.1315
1983-07-08,1.145081873,0.64871878,1.2313,2.8845,7.744,2.578,241.35,2.129
1983-07-11,1.145475372,0.651890482,1.2316,2.894,7.77,2.5857,241.65,2.13
